year,team,matches_played,goals_for,goals_against,avg_possession_pct,avg_xg_for,avg_xg_against,avg_shots_on_target,avg_pass_completion_pct,avg_ppda,avg_high_pressures,round_reached,star_goals_plus_assists,star_key_passes_per90,star_xg_plus_xa,star_duel_win_pct,fifa_points_pre,fifa_points_trend_12m,weighted_form_score,weighted_goal_diff
2018,Argentina,4,6,9,54.72515498174896,1.398923874425,1.451801689875,4.5,82.15617769204145,1.299573717220776,43.5,1,0.6,0.5886145474075694,0.94365303634,77.55555555555556,1241.0,-385.0,1.635,0.06360000000000009
2018,Australia,3,2,5,51.307808074236185,1.340497526,0.9707923085333334,3.0,81.66577818539643,1.8217910033002325,33.666666666666664,0,0.0,1.5036509287950193,0.2857834248,63.33333333333333,718.0,37.0,0.9101999999999999,-0.3955333333333334
2018,Belgium,7,16,6,50.679448431942504,1.8177751842142855,1.3334611341857143,5.428571428571429,84.45938368974628,1.6603076993984873,38.714285714285715,3,2.8,1.6848172252162734,2.4950215720999998,65.0,1298.0,6.0,1.4454,0.9419333333333332
2018,Brazil,5,8,3,53.4865827553474,2.4624757417399996,0.51343509606,8.2,84.9621246487718,1.4445450914227151,34.0,2,1.2,0.9397640347133361,1.6909320367,78.0952380952381,1431.0,-284.0,2.3125333333333336,1.4912
2018,Colombia,4,6,3,49.5512782363647,1.8066777179500002,2.4893816799999997,4.25,76.57739967091115,1.5518722344677918,26.25,1,1.6,0.8570421027509212,0.96697181174,76.0,986.0,-380.0,1.2342,0.1882666666666667
2018,Costa Rica,3,2,5,47.368803759559775,0.7769759412333334,2.1028703514,3.6666666666666665,75.08214520842778,2.8477318007662835,22.0,0,0.0,0.3850633397734282,0.26007425714,68.57142857142857,884.0,-29.0,0.9533333333333334,-0.47193333333333326
2018,Croatia,7,14,9,51.51244942767449,2.7824889686,2.1943040038857147,6.142857142857143,77.95750122544689,1.682178717150276,38.142857142857146,4,3.4,0.824408141895671,3.2190549939999995,66.65934065934066,945.0,-88.0,1.2210666666666665,0.007266666666666717
2018,Denmark,4,3,2,48.33633376803974,1.72224131295,2.461111544,4.25,75.89187424084173,1.9172709190281754,28.0,1,0.2,0.3109383215637793,0.26190294596,56.25,1051.0,391.0,1.5016,0.8784
2018,Egypt,3,2,6,46.318670846972736,0.995244216,1.8225949553333336,2.0,74.92418938164545,1.676048332109638,26.333333333333332,0,0.4,0.7607090790254288,0.7987902372,73.14285714285714,649.0,-254.0,0.5370666666666667,-0.3488666666666667
2018,England,7,12,8,52.55563125870896,2.256786244042857,1.7194058621142858,4.428571428571429,82.8312265764646,2.0988850581464304,49.714285714285715,3,1.0,1.0001560564454044,1.297564459,61.958874458874455,1051.0,-68.0,1.3423333333333334,0.21913333333333332
2018,France,7,14,6,49.90971034254432,1.2569396395285715,0.8473030129285715,4.285714285714286,78.94364887073333,1.73296038266477,33.142857142857146,5,2.2,0.758789279169784,1.6540804032,78.47222222222221,1198.0,-134.0,1.6058000000000001,0.7611333333333334
2018,Germany,3,2,4,57.01952743541412,2.1079147477333335,1.1943619146666666,7.0,85.44900484691085,1.1465648812046159,43.333333333333336,0,0.2,1.648183630182435,0.8016305099400001,84.92063492063492,1558.0,47.0,1.7062,0.7674666666666666
2018,Iceland,3,2,5,47.061402282168764,1.572324454333333,1.3555354572333334,4.0,64.97037548766355,1.5229347261078157,34.333333333333336,0,0.4,1.054124194065835,1.1482219334,54.28571428571429,908.0,31.0,0.8699999999999999,0.0328666666666667
2018,Iran,3,2,2,46.02747851531495,0.9003282392333333,1.5928557449333336,1.3333333333333333,59.557691408209315,1.775098613875986,19.333333333333332,0,0.0,0.46341872686589075,0.24470819113999998,54.095238095238095,708.0,-121.0,1.1819333333333333,0.3766
2018,Japan,4,6,7,47.684055256467,1.221816496675,1.660766523125,4.25,81.12865914603503,1.6556777317858322,28.5,1,1.6,1.161094970314002,1.0568991496,40.0,521.0,-168.0,0.8472666666666666,-0.4017333333333333
2018,Mexico,4,3,6,51.0597694419769,1.266085958675,2.30799004605,3.25,80.82475862331506,1.3071624721672714,25.25,1,0.2,0.962345294320914,0.9089235922799999,78.0,989.0,-61.0,1.4699333333333333,0.3758666666666667
2018,Morocco,3,2,4,47.61096395851387,1.1953528583333333,1.3956784069000001,3.6666666666666665,76.26537726469313,1.3367522812915305,28.666666666666668,0,0.2,0.9200397836994544,0.7481680049,57.222222222222214,686.0,55.0,1.4005333333333334,0.7376666666666666
2018,Nigeria,3,3,4,49.10109048040082,1.1266087015666668,1.3657294866666667,3.3333333333333335,72.78268282738426,1.3803353304182695,27.333333333333332,0,0.6,0.7983015750154212,0.5009265808800001,66.0,618.0,-112.0,1.2210666666666667,0.2657333333333332
2018,Panama,3,2,11,45.638750467699204,0.7987297727666668,2.41094373,2.6666666666666665,77.79945890504014,2.1993395865837075,29.666666666666668,0,0.0,0.33226672833024506,0.30811669185999996,77.77777777777777,571.0,-55.0,0.7596666666666666,-0.557
2018,Peru,3,2,2,48.0671484338203,0.9626581715333334,1.537752273,4.0,79.48349606816883,1.5348140560004966,17.666666666666668,0,0.2,1.185923730308971,0.53236313792,41.33333333333333,1125.0,17.0,1.7311333333333332,0.7778000000000002
2018,Poland,3,2,5,54.15517637313787,1.065745091,1.2351076566,2.3333333333333335,79.48211339243403,1.9056535778123738,34.666666666666664,0,0.4,1.0015240687646865,0.54556625,56.666666666666664,1183.0,-15.0,1.0960666666666667,0.4049333333333333
2018,Portugal,4,6,6,53.245739404238094,1.209394146225,1.2922567722499998,3.25,79.86441980375386,1.4755134228640077,28.0,1,0.8,0.8930719605656018,0.8737836417599999,36.507936507936506,1274.0,7.0,1.5252000000000003,0.5902666666666667
2018,Russia,5,11,7,47.255432154165895,2.3943604402,3.07109668256,5.4,68.97907760597673,2.0699607179886406,32.8,2,3.0,0.7376296448352773,1.4141348494,65.6926406926407,457.0,-104.0,0.7342000000000001,-0.6018666666666667
