year,team,matches_played,goals_for,goals_against,avg_possession_pct,avg_xg_for,avg_xg_against,avg_shots_on_target,avg_pass_completion_pct,avg_ppda,avg_high_pressures,round_reached
2018,Argentina,4,6,9,54.72515498174896,1.398923874425,1.451801689875,4.5,82.15617769204145,1.299573717220776,43.5,1
2018,Australia,3,2,5,51.307808074236185,1.340497526,0.9707923085333334,3.0,81.66577818539643,1.8217910033002325,33.666666666666664,0
2018,Belgium,7,16,6,50.679448431942504,1.8177751842142855,1.3334611341857143,5.428571428571429,84.45938368974628,1.6603076993984873,38.714285714285715,3
2018,Brazil,5,8,3,53.4865827553474,2.4624757417399996,0.51343509606,8.2,84.9621246487718,1.4445450914227151,34.0,2
2018,Colombia,4,6,3,49.5512782363647,1.8066777179500002,2.4893816799999997,4.25,76.57739967091115,1.5518722344677918,26.25,1
2018,Costa Rica,3,2,5,47.368803759559775,0.7769759412333334,2.1028703514,3.6666666666666665,75.08214520842778,2.8477318007662835,22.0,0
2018,Croatia,7,14,9,51.51244942767449,2.7824889686,2.1943040038857147,6.142857142857143,77.95750122544689,1.682178717150276,38.142857142857146,4
2018,Denmark,4,3,2,48.33633376803974,1.72224131295,2.461111544,4.25,75.89187424084173,1.9172709190281754,28.0,1
2018,Egypt,3,2,6,46.318670846972736,0.995244216,1.8225949553333336,2.0,74.92418938164545,1.676048332109638,26.333333333333332,0
2018,England,7,12,8,52.55563125870896,2.256786244042857,1.7194058621142858,4.428571428571429,82.8312265764646,2.0988850581464304,49.714285714285715,3
2018,France,7,14,6,49.90971034254432,1.2569396395285715,0.8473030129285715,4.285714285714286,78.94364887073333,1.73296038266477,33.142857142857146,5
2018,Germany,3,2,4,57.01952743541412,2.1079147477333335,1.1943619146666666,7.0,85.44900484691085,1.1465648812046159,43.333333333333336,0
2018,Iceland,3,2,5,47.061402282168764,1.572324454333333,1.3555354572333334,4.0,64.97037548766355,1.5229347261078157,34.333333333333336,0
2018,Iran,3,2,2,46.02747851531495,0.9003282392333333,1.5928557449333336,1.3333333333333333,59.557691408209315,1.775098613875986,19.333333333333332,0
2018,Japan,4,6,7,47.684055256467,1.221816496675,1.660766523125,4.25,81.12865914603503,1.6556777317858322,28.5,1
2018,Mexico,4,3,6,51.0597694419769,1.266085958675,2.30799004605,3.25,80.82475862331506,1.3071624721672714,25.25,1
2018,Morocco,3,2,4,47.61096395851387,1.1953528583333333,1.3956784069000001,3.6666666666666665,76.26537726469313,1.3367522812915305,28.666666666666668,0
2018,Nigeria,3,3,4,49.10109048040082,1.1266087015666668,1.3657294866666667,3.3333333333333335,72.78268282738426,1.3803353304182695,27.333333333333332,0
2018,Panama,3,2,11,45.638750467699204,0.7987297727666668,2.41094373,2.6666666666666665,77.79945890504014,2.1993395865837075,29.666666666666668,0
2018,Peru,3,2,2,48.0671484338203,0.9626581715333334,1.537752273,4.0,79.48349606816883,1.5348140560004966,17.666666666666668,0
2018,Poland,3,2,5,54.15517637313787,1.065745091,1.2351076566,2.3333333333333335,79.48211339243403,1.9056535778123738,34.666666666666664,0
2018,Portugal,4,6,6,53.245739404238094,1.209394146225,1.2922567722499998,3.25,79.86441980375386,1.4755134228640077,28.0,1
2018,Russia,5,11,7,47.255432154165895,2.3943604402,3.07109668256,5.4,68.97907760597673,2.0699607179886406,32.8,2
2018,Saudi Arabia,3,2,7,52.775076184918625,1.0227026027666666,1.337571271,3.0,84.30128652833014,1.4557130989151936,29.333333333333332,0
2018,Senegal,3,4,4,46.2695635287839,1.2222933336666668,0.76979275,3.6666666666666665,72.97155166497707,1.76,32.0,0
2018,Serbia,3,2,4,49.1135443829898,1.3647912476666668,1.1910465317333332,2.0,75.83126702488438,1.544858329845668,51.666666666666664,0
2018,South Korea,3,3,3,45.78801843317973,1.0035985183333331,2.199692246,3.6666666666666665,74.73230710141705,1.4821363925687232,27.333333333333332,0
2018,Spain,4,7,6,54.06996148908858,2.9552493269999998,1.86831062725,6.5,89.49256385494003,1.3006156939488906,48.75,1
2018,Sweden,5,6,4,46.17391780503216,1.4730861232,0.92687688384,4.2,69.38062719386798,1.5182739388772637,30.6,2
2018,Switzerland,4,5,5,50.257615858802595,0.9455206602499999,1.3766884419999998,3.75,82.71256199242904,1.316766072649567,39.75,1
2018,Tunisia,3,5,8,49.40879741727199,1.6620954328666666,2.8845558454999995,4.0,80.64829517525057,1.2422196222416366,47.666666666666664,0
2018,Uruguay,5,7,3,49.60091294622532,1.47999793456,0.47050370082,4.2,75.22521795969925,1.530133439651766,31.2,2
